Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     23.39     0.00    35090     0.00     0.00  free_clash_nd
  0.00     23.39     0.00    33446     0.00     0.00  free_imd_pos
  0.00     23.39     0.00    28884     0.00     0.00  fpa_insert
  0.00     23.39     0.00    28859     0.00     0.00  append_cl
  0.00     23.39     0.00    26124     0.00     0.00  is_symbol
  0.00     23.39     0.00    26055     0.00     0.00  sn_to_arity
  0.00     23.39     0.00    25931     0.00     0.00  splitting
  0.00     23.39     0.00    25568     0.00     0.00  copy_term
  0.00     23.39     0.00    25364     0.00     0.00  convenient_demod
  0.00     23.39     0.00    25364     0.00     0.00  free_imd_pos_list
  0.00     23.39     0.00    21178     0.00     0.00  get_term_ptr
  0.00     23.39     0.00    20483     0.00     0.00  weight
  0.00     23.39     0.00    20261     0.00     0.00  get_clause_ptr
  0.00     23.39     0.00    20231     0.00     0.00  is_insert
  0.00     23.39     0.00    20227     0.00     0.00  assign_cl_id
  0.00     23.39     0.00    20227     0.00     0.00  cl_integrate
  0.00     23.39     0.00    20225     0.00     0.00  index_lits_all
  0.00     23.39     0.00    20220     0.00     0.00  weight_cl
  0.00     23.39     0.00    20217     0.00     0.00  check_for_proof
  0.00     23.39     0.00    20216     0.00     0.00  post_process
  0.00     23.39     0.00    20216     0.00     0.00  unit_conflict
  0.00     23.39     0.00     8646     0.00     0.00  index_lits_clash
  0.00     23.39     0.00     8645     0.00     0.00  run_time
  0.00     23.39     0.00     8643     0.00     0.00  rem_from_list
  0.00     23.39     0.00     8642     0.00     0.00  check_stop
  0.00     23.39     0.00     8642     0.00     0.29  extract_given_clause
  0.00     23.39     0.00     8642     0.00     0.29  find_given_clause
  0.00     23.39     0.00     8642     0.00     0.00  given_clause_ok
  0.00     23.39     0.00     8642     0.00     2.37  hyper_res
  0.00     23.39     0.00     8642     0.00     2.37  infer_and_process
  0.00     23.39     0.00     8641     0.00     0.00  post_proc_all
  0.00     23.39     0.00     1603     0.00     0.00  is_alpha_numeric
  0.00     23.39     0.00     1242     0.00     0.00  get_fnode
  0.00     23.39     0.00     1053     0.00     0.00  quote_char
  0.00     23.39     0.00      814     0.00     0.00  get_fpa_head
  0.00     23.39     0.00      814     0.00     0.00  path_copy
  0.00     23.39     0.00      814     0.00     0.00  path_size
  0.00     23.39     0.00      792     0.00     0.00  compare_for_auto_lex_order
  0.00     23.39     0.00      757     0.00     0.00  is_white
  0.00     23.39     0.00      641     0.00     0.00  get_sym_ent
  0.00     23.39     0.00      641     0.00     0.02  insert_sym
  0.00     23.39     0.00      470     0.00     0.00  skip_white
  0.00     23.39     0.00      242     0.00     0.00  name_sym
  0.00     23.39     0.00      146     0.00     0.00  fill_in_op_data
  0.00     23.39     0.00      146     0.00     0.00  get_name
  0.00     23.39     0.00      120     0.00     0.00  initial_str
  0.00     23.39     0.00      115     0.00     0.00  seq_to_term
  0.00     23.39     0.00      115     0.00     0.00  str_to_sequence
  0.00     23.39     0.00      115     0.00     0.00  str_to_term
  0.00     23.39     0.00       92     0.00     0.00  print_variable
  0.00     23.39     0.00       68     0.00     0.00  is_symbol_char
